x_value,total_1,total_2
0,1000,1000
1,1008,995
2,1002,996
3,999,991
4,1001,990
5,996,993
6,999,988
7,994,992
8,994,987
9,989,991
10,985,989
11,990,994
12,988,989
13,989,986
14,984,984
15,990,986
16,986,986
17,986,981
18,990,986
19,994,986
20,989,992
21,991,998
22,985,1004
23,980,1008
24,983,1006
25,990,1006
26,990,1007
27,984,1004
28,980,1007
29,981,1013
30,985,1016
31,986,1021
32,987,1026
33,989,1021
34,984,1019
35,992,1023
36,986,1021
37,987,1021
38,986,1020
39,984,1017
